"","date","state.abbr","positive","negative","pending","hospitalizedCurrently","hospitalizedCumulative","inIcuCurrently","inIcuCumulative","onVentilatorCurrently","onVentilatorCumulative","recovered","lastUpdateEt","dateModified","checkTimeEt","death","dateChecked","hash","state","Positive_Increase"
"47",2020-06-30,"TN",43509,749618,NA,527,2665,NA,NA,NA,NA,27599,"6/30/2020 15:00","2020-06-30T15:00:00Z","06/30 11:00",604,"2020-06-30T15:00:00Z","ba3ebf81411c80dc4eb018cbd473da37ad37086d","Tennessee",NA
"48",2020-06-30,"TX",159986,1709296,NA,6533,NA,NA,NA,NA,NA,84818,"6/30/2020 17:00","2020-06-30T17:00:00Z","06/30 13:00",2424,"2020-06-30T17:00:00Z","7a9d308fcbcc277fec38b5d305d591334d737ec9","Texas",NA
"49",2020-06-30,"UT",22217,318536,NA,250,1444,83,406,NA,178,12398,"6/30/2020 10:14","2020-06-30T10:14:00Z","06/30 06:14",172,"2020-06-30T10:14:00Z","af870f90ae9fb2fedff5ca2158faad7fed11ef79","Utah",NA
"50",2020-06-30,"VA",62787,582247,355,902,8982,230,NA,98,NA,8080,"6/29/2020 17:00","2020-06-29T17:00:00Z","06/29 13:00",1763,"2020-06-29T17:00:00Z","c5b2a4f9296e07240d1df773c62c21030eef5441","Virginia",NA
"51",2020-06-30,"VI",84,2819,4,NA,NA,NA,NA,NA,NA,73,"6/29/2020 21:10","2020-06-29T21:10:00Z","06/29 17:10",6,"2020-06-29T21:10:00Z","64cc92080727ea99e4bccda79fb56de31b355492","U.S. Virgin Islands",NA
"52",2020-06-30,"VT",1208,64556,NA,16,NA,NA,NA,NA,NA,953,"6/30/2020 00:00","2020-06-30T00:00:00Z","06/29 20:00",56,"2020-06-30T00:00:00Z","904c9981ecfa2c37e924da5ee09d609c30dc98fe","Vermont",NA
"53",2020-06-30,"WA",32253,515967,NA,282,4323,NA,NA,50,NA,NA,"6/29/2020 02:59","2020-06-29T02:59:00Z","06/28 22:59",1320,"2020-06-29T02:59:00Z","2cf35f5eefc5e057b8f19eb2705db761cbe7063c","Washington",NA
"54",2020-06-30,"WI",31662,539539,169,242,3446,79,750,NA,NA,22587,"6/30/2020 16:00","2020-06-30T16:00:00Z","06/30 12:00",784,"2020-06-30T16:00:00Z","e1dbdacc0f63f4f94b0fbdda0d2d38e1eb969696","Wisconsin",NA
"55",2020-06-30,"WV",2905,168859,NA,27,NA,10,NA,3,NA,2272,"6/30/2020 10:00","2020-06-30T10:00:00Z","06/30 06:00",93,"2020-06-30T10:00:00Z","d20c6373ab71166e033a3f8e8bc2438ed0ea18d5","West Virginia",NA
"56",2020-06-30,"WY",1487,32185,NA,6,117,NA,NA,NA,NA,1097,"6/30/2020 16:55","2020-06-30T16:55:00Z","06/30 12:55",20,"2020-06-30T16:55:00Z","404226a0dd7e6dd743979a9d96faa602fbb8d7cd","Wyoming",NA
